,B_Cells,CD34_Progenitors,CD4_HelperT,Dendritic_Cells,Memory_CD4_T_Cells,Memory_CD8_T_Cells,Monocytes,NK_Cells,Naive_CD4_T_Cells,Naive_CD8_T_Cells,Regulatory_T_Cells
B_Cells,0.0,5.5945005,6.228194,7.0472198,6.4482913,6.5308337,6.9680037,7.5601306,6.5945115,6.6702213,6.822857
CD34_Progenitors,5.5945005,0.0,4.9417586,5.1831594,5.1586337,5.4013987,5.355317,6.3187947,5.353188,5.56107,6.0341406
CD4_HelperT,6.228194,4.9417586,0.0,6.5301614,1.250261,2.5576477,6.649191,5.581843,2.4864502,3.0649729,3.2307608
Dendritic_Cells,7.0472198,5.1831594,6.5301614,0.0,6.6242056,7.1730914,4.5280285,7.329767,7.1078796,7.5009575,7.058585
Memory_CD4_T_Cells,6.4482913,5.1586337,1.250261,6.6242056,0.0,3.0555634,6.88147,5.5925226,3.4745286,3.6091409,3.225447
Memory_CD8_T_Cells,6.5308337,5.4013987,2.5576477,7.1730914,3.0555634,0.0,7.422863,4.9630957,2.7873235,0.7958423,4.4600253
Monocytes,6.9680037,5.355317,6.649191,4.5280285,6.88147,7.422863,0.0,7.7687116,7.339952,7.6403174,7.381597
NK_Cells,7.5601306,6.3187947,5.581843,7.329767,5.5925226,4.9630957,7.7687116,0.0,6.454123,4.802818,6.284837
Naive_CD4_T_Cells,6.5945115,5.353188,2.4864502,7.1078796,3.4745286,2.7873235,7.339952,6.454123,0.0,2.9654543,4.9608474
Naive_CD8_T_Cells,6.6702213,5.56107,3.0649729,7.5009575,3.6091409,0.7958423,7.6403174,4.802818,2.9654543,0.0,4.778672
Regulatory_T_Cells,6.822857,6.0341406,3.2307608,7.058585,3.225447,4.4600253,7.381597,6.284837,4.9608474,4.778672,0.0
