cell_type,rank,peak_feature,peak_idx,distance,omega_j,adj_score
B_Cells,1,chr10_63759945_63760445,320397,4.248158931732178,-0.6573634147644043,4.905522346496582
B_Cells,2,chr19_45555487_45555987,517331,4.255004405975342,-0.6678297519683838,4.922834396362305
B_Cells,3,chr14_23263686_23264186,409621,3.823140859603882,-1.1087132692337036,4.931854248046875
B_Cells,4,chr6_347190_347690,195747,4.020483493804932,-0.9268430471420288,4.94732666015625
B_Cells,5,chr1_185572247_185572747,40057,5.529365062713623,0.5793293714523315,4.950035572052002
B_Cells,6,chr11_10510388_10510888,340359,5.449886322021484,0.4841289818286896,4.965757369995117
B_Cells,7,chr2_65254284_65254784,67678,3.7131431102752686,-1.278846263885498,4.9919891357421875
B_Cells,8,chr3_122417041_122417541,123465,4.30995512008667,-0.685207188129425,4.995162487030029
B_Cells,9,chr6_88851254_88851754,214147,3.9503438472747803,-1.0576528310775757,5.007996559143066
B_Cells,10,chr1_38940374_38940874,13205,5.6161956787109375,0.5744308233261108,5.041764736175537
B_Cells,11,chr19_17887327_17887827,510854,5.6503071784973145,0.6007464528083801,5.049560546875
B_Cells,12,chr3_186782958_186783458,136124,4.628531455993652,-0.44262897968292236,5.071160316467285
B_Cells,13,chr22_42332265_42332765,553884,7.312201023101807,2.237456798553467,5.07474422454834
B_Cells,14,chr5_122037511_122038011,181756,4.351848125457764,-0.7243015170097351,5.0761494636535645
B_Cells,15,chr3_5418409_5418909,101812,3.9969451427459717,-1.0831786394119263,5.0801239013671875
B_Cells,16,chr7_130808942_130809442,253968,6.3966145515441895,1.3048261404037476,5.091788291931152
B_Cells,17,chr11_77934555_77935055,355156,3.8775761127471924,-1.222017526626587,5.099593639373779
B_Cells,18,chr1_178575078_178575578,38183,6.27145528793335,1.1714078187942505,5.100047588348389
B_Cells,19,chr8_53029465_53029965,268818,4.735218048095703,-0.37871235609054565,5.1139302253723145
B_Cells,20,chr22_18540224_18540724,545124,5.6029205322265625,0.4881274998188019,5.114792823791504
B_Cells,21,chr19_7767052_7767552,506318,4.425357341766357,-0.6942518353462219,5.119609355926514
B_Cells,22,chr20_46988410_46988910,532949,4.855390548706055,-0.26502710580825806,5.120417594909668
B_Cells,23,chr1_59271757_59272257,18330,4.687412261962891,-0.43427303433418274,5.12168550491333
B_Cells,24,chr15_52521115_52521615,432877,3.3906564712524414,-1.7347630262374878,5.125419616699219
B_Cells,25,chr14_71135763_71136263,417598,6.379512310028076,1.2438322305679321,5.135680198669434
B_Cells,26,chr9_84270260_84270760,294105,6.541856288909912,1.3963414430618286,5.145514965057373
B_Cells,27,chr17_65809309_65809809,483414,3.3560683727264404,-1.7926793098449707,5.148747444152832
B_Cells,28,chr2_85619525_85620025,71160,6.609827041625977,1.459991693496704,5.149835586547852
B_Cells,29,chr18_48777936_48778436,497416,4.976875305175781,-0.17562034726142883,5.152495861053467
B_Cells,30,chr14_68980419_68980919,416835,5.57552433013916,0.4212065637111664,5.154317855834961
B_Cells,31,chr9_37324088_37324588,290914,5.704936504364014,0.5503226518630981,5.154613971710205
B_Cells,32,chr14_42898105_42898605,412117,3.5684540271759033,-1.589998722076416,5.158452987670898
B_Cells,33,chr16_67551815_67552315,457469,5.489977836608887,0.330349862575531,5.159627914428711
B_Cells,34,chr11_60223007_60223507,347761,6.222140789031982,1.0592089891433716,5.1629319190979
B_Cells,35,chr8_53206722_53207222,268861,6.545539855957031,1.3790364265441895,5.166503429412842
B_Cells,36,chr19_42869235_42869735,516629,5.839432716369629,0.6717244982719421,5.167708396911621
B_Cells,37,chr7_142782134_142782634,256606,6.330953598022461,1.159745216369629,5.171208381652832
B_Cells,38,chr13_67233725_67234225,402432,4.323535919189453,-0.8504497408866882,5.173985481262207
B_Cells,39,chr12_25310570_25311070,371636,5.1157145500183105,-0.0652080625295639,5.180922508239746
B_Cells,40,chr14_51222999_51223499,412813,6.3408684730529785,1.1575762033462524,5.183292388916016
B_Cells,41,chr6_99932612_99933112,215348,4.333009719848633,-0.8535552620887756,5.186564922332764
B_Cells,42,chr4_86478307_86478807,152422,5.655075550079346,0.46578550338745117,5.1892900466918945
B_Cells,43,chr1_3582749_3583249,1732,5.625308036804199,0.4343104362487793,5.19099760055542
B_Cells,44,chr8_241527_242027,260071,5.116034030914307,-0.07579639554023743,5.191830635070801
B_Cells,45,chr5_122038113_122038613,181757,4.702206134796143,-0.4927462339401245,5.194952487945557
B_Cells,46,chr18_48343174_48343674,497271,4.697550296783447,-0.49974051117897034,5.197290897369385
B_Cells,47,chr14_50580221_50580721,412662,5.7367262840271,0.5303208231925964,5.2064056396484375
B_Cells,48,chr17_74419709_74420209,485839,4.71798849105835,-0.4884396195411682,5.206428050994873
B_Cells,49,chr1_87523498_87523998,22480,5.234884262084961,0.028263039886951447,5.206621170043945
B_Cells,50,chr17_34454554_34455054,473763,4.033283233642578,-1.1734579801559448,5.2067413330078125
CD34_Progenitors,1,chr5_83678069_83678569,177276,5.289597511291504,-0.570018470287323,5.859615802764893
CD34_Progenitors,2,chr12_126467973_126468473,392771,5.547821521759033,-0.3961644768714905,5.943985939025879
CD34_Progenitors,3,chr8_75896536_75897036,272508,6.673249244689941,0.6985281109809875,5.9747209548950195
CD34_Progenitors,4,chr8_99438921_99439421,275545,5.141547203063965,-0.8483872413635254,5.98993444442749
CD34_Progenitors,5,chr12_2725836_2726336,366468,6.373409271240234,0.3810589611530304,5.992350101470947
CD34_Progenitors,6,chr3_167967402_167967902,132304,5.889866352081299,-0.10973810404539108,5.999604225158691
CD34_Progenitors,7,chr9_74061248_74061748,292156,4.864981174468994,-1.1406468152999878,6.0056281089782715
CD34_Progenitors,8,chr5_36066686_36067186,169384,5.1530680656433105,-0.8557323217391968,6.008800506591797
CD34_Progenitors,9,chr12_72665126_72665626,381378,4.777102470397949,-1.2428981065750122,6.020000457763672
CD34_Progenitors,10,chr8_98881531_98882031,275404,5.421858310699463,-0.6160705089569092,6.037928581237793
CD34_Progenitors,11,chr10_133575560_133576060,335881,7.038719654083252,0.9891425371170044,6.049577236175537
CD34_Progenitors,12,chr7_89950233_89950733,246265,4.467947006225586,-1.5840427875518799,6.051989555358887
CD34_Progenitors,13,chr13_96204650_96205150,405095,5.478400707244873,-0.5751904845237732,6.053591251373291
CD34_Progenitors,14,chr10_52834053_52834553,319389,4.9206438064575195,-1.13836669921875,6.0590105056762695
CD34_Progenitors,15,chr11_49229627_49230127,346852,5.18861198425293,-0.8797839283943176,6.068396091461182
CD34_Progenitors,16,chr10_24160069_24160569,314657,5.511046886444092,-0.5576472282409668,6.068694114685059
CD34_Progenitors,17,chr3_87039983_87040483,118864,6.423936367034912,0.35144227743148804,6.072494029998779
CD34_Progenitors,18,chr18_25757151_25757651,494156,6.053127765655518,-0.020923158153891563,6.0740509033203125
CD34_Progenitors,19,chr22_50473173_50473673,556563,4.383053302764893,-1.7178151607513428,6.100868225097656
CD34_Progenitors,20,chr4_141347808_141348308,159003,5.990266799926758,-0.11619604378938675,6.1064629554748535
CD34_Progenitors,21,chr13_37247849_37248349,397866,5.549128532409668,-0.560147225856781,6.109275817871094
CD34_Progenitors,22,chr6_118228118_118228618,218711,5.535152912139893,-0.5789586305618286,6.114111423492432
CD34_Progenitors,23,chr2_16689361_16689861,57228,6.00885534286499,-0.11466020345687866,6.123515605926514
CD34_Progenitors,24,chr2_56410630_56411130,65813,5.915611267089844,-0.21072471141815186,6.126336097717285
CD34_Progenitors,25,chr18_6729667_6730167,490921,5.825021266937256,-0.3014371991157532,6.126458644866943
CD34_Progenitors,26,chr3_22413923_22414423,106040,6.308816432952881,0.17969365417957306,6.129122734069824
CD34_Progenitors,27,chr19_22966760_22967260,512462,6.71232795715332,0.5785766839981079,6.133751392364502
CD34_Progenitors,28,chr8_75897127_75897627,272509,5.57344388961792,-0.565532386302948,6.138976097106934
CD34_Progenitors,29,chr12_20521736_20522236,371021,6.7594146728515625,0.6185634136199951,6.140851020812988
CD34_Progenitors,30,chr20_62084263_62084763,537035,4.9263997077941895,-1.2160955667495728,6.142495155334473
CD34_Progenitors,31,chr3_192127693_192128193,137105,4.849066734313965,-1.2939038276672363,6.142970561981201
CD34_Progenitors,32,chr1_86046832_86047332,22252,5.439172267913818,-0.7039083242416382,6.143080711364746
CD34_Progenitors,33,chr12_114029133_114029633,388963,5.649008274078369,-0.499181866645813,6.148190021514893
CD34_Progenitors,34,chr6_154830773_154831273,225953,6.3009772300720215,0.15135420858860016,6.149622917175293
CD34_Progenitors,35,chr1_239550276_239550776,51735,5.266555309295654,-0.8868978023529053,6.1534528732299805
CD34_Progenitors,36,chr19_23257726_23258226,512470,6.610929489135742,0.4562720060348511,6.154657363891602
CD34_Progenitors,37,chr1_241586909_241587409,51970,5.10152530670166,-1.0552253723144531,6.156750679016113
CD34_Progenitors,38,chr1_226165155_226165655,48245,4.792109966278076,-1.3649919033050537,6.157101631164551
CD34_Progenitors,39,chr20_9049735_9050235,524913,6.31227970123291,0.15306635200977325,6.159213542938232
CD34_Progenitors,40,chr10_25463313_25463813,314825,5.914661407470703,-0.24481089413166046,6.159472465515137
CD34_Progenitors,41,chr7_145812820_145813320,256947,5.952525615692139,-0.21042364835739136,6.162949085235596
CD34_Progenitors,42,chr13_53420280_53420780,401793,6.583525657653809,0.4184287488460541,6.165096759796143
CD34_Progenitors,43,chr6_154831499_154831999,225954,6.013426780700684,-0.15244105458259583,6.165867805480957
CD34_Progenitors,44,chr7_89840871_89841371,246242,5.915184497833252,-0.2509467899799347,6.166131496429443
CD34_Progenitors,45,chr3_179754346_179754846,134442,5.4169440269470215,-0.7528001070022583,6.16974401473999
CD34_Progenitors,46,chr2_167232282_167232782,84973,8.396117210388184,2.2237133979797363,6.172403812408447
CD34_Progenitors,47,chr4_30718989_30719489,144963,5.822969436645508,-0.35264748334884644,6.17561674118042
CD34_Progenitors,48,chr7_29846917_29847417,236805,5.4990315437316895,-0.6772713661193848,6.176302909851074
CD34_Progenitors,49,chr4_171011160_171011660,163086,6.603778839111328,0.4252884089946747,6.17849063873291
CD34_Progenitors,50,chr2_66803829_66804329,68058,5.6532087326049805,-0.5262482762336731,6.179457187652588
CD4_HelperT,1,chr8_42011593_42012093,267884,3.804151773452759,-1.3631393909454346,5.167291164398193
CD4_HelperT,2,chr6_161497340_161497840,228068,4.347505569458008,-0.8433138728141785,5.190819263458252
CD4_HelperT,3,chr19_40349114_40349614,515504,4.141221046447754,-1.088484764099121,5.229705810546875
CD4_HelperT,4,chr5_130672846_130673346,182966,3.7081573009490967,-1.5966845750808716,5.304841995239258
CD4_HelperT,5,chr16_30563057_30563557,453000,5.9183878898620605,0.6101195216178894,5.3082685470581055
CD4_HelperT,6,chr4_7856676_7857176,141881,5.625676155090332,0.30158573389053345,5.324090480804443
CD4_HelperT,7,chr2_38936774_38937274,62074,5.853196620941162,0.5246500372886658,5.328546524047852
CD4_HelperT,8,chr2_204569750_204570250,92141,6.203553199768066,0.8712410926818848,5.332312107086182
CD4_HelperT,9,chr10_15126430_15126930,312939,5.699565410614014,0.3671618402004242,5.332403659820557
CD4_HelperT,10,chr4_143486839_143487339,159373,5.1331071853637695,-0.2071635127067566,5.340270519256592
